Column1,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
1008,224,3,22,31,0,42,5,14,0,3,37,23,1,0,31,10,0,8,45,17,34,2,walnut,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,15,100,22.61,4.77
110,222,2,25,34,0,62,4,7,0,2,7,3,1,0,47,16,0,16,113,16,54,383,brazil nut,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,15,100,30.15,6.36
231,217,3,49,15,0,3,0,6,0,5,7,0,0,0,0,18,1,1,32,19,19,12,coconut dried,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,12,100,13.57,2.86
626,206,5,21,33,0,49,24,16,0,28,21,7,0,0,99,20,0,2,119,43,72,2,pine nuts,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,16,100,37.69,7.95
419,198,4,32,33,0,46,5,36,0,11,26,27,2,0,151,18,0,16,52,24,36,1,hazelnut,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,16,100,27.39,5.78
852,191,2,29,54,1,83,11,25,0,38,38,6,0,0,2,12,2,4,113,39,72,93,sesame seeds,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,16,100,42.46,9.01
912,182,1,27,50,0,148,33,96,0,69,76,19,1,0,288,19,0,9,106,33,72,16,sunflower seeds,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,18,100,41.21,8.7
2,174,3,35,51,0,15,85,9,0,16,19,8,0,0,226,18,0,27,77,22,41,4,almond,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,17,100,35.43,7.48
607,167,6,27,52,0,14,6,31,0,103,22,19,0,0,21,13,35,5,55,8,36,8,peanut roasted salted,"Savoury snacks/Salted nuts, seeds and kernels",Nuts and seeds,vegan,19,100,25.38,5.36
603,164,6,29,52,0,60,39,1,0,100,34,41,0,0,46,18,1,6,52,11,50,50,peanut,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,18,100,29.9,6.31
714,164,2,20,71,0,29,15,7,0,23,43,6,2,0,16,22,0,6,168,55,62,18,pumpkin seeds,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,18,100,48.74,10.29
166,151,9,12,43,0,59,5,30,0,9,15,20,1,0,7,16,1,4,87,39,50,25,cashew nut,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,17,100,34.17,7.21
630,151,7,33,48,3,43,22,64,0,9,23,9,6,0,14,25,0,9,39,19,41,11,pistachio dried,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,20,100,29.4,6.36
482,141,1,90,43,0,47,0,12,0,0,24,14,0,0,4,17,3,24,103,42,54,0,linseed,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,14,100,40.95,8.64
228,122,2,30,9,0,6,1,4,0,3,10,3,2,0,6,10,2,2,13,15,10,7,coconut,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,13,100,9.05,1.91
646,116,20,13,10,0,39,5,76,0,10,20,14,34,0,24,22,33,1,13,6,8,0,pommes chips,Savoury snacks/Chips/Crisps,Other,vegan,18,100,6.28,1.33
191,114,1,136,43,0,47,18,10,0,34,24,6,2,0,4,16,1,55,103,43,64,16,chia seed,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,17,100,51.51,10.87
229,110,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67,0,0,0,coconut fat,Fats and oils/Fats,Oils,vegan,4,33.33,0.17,0.04
713,100,0,0,0,16.67,0,0,0,0,0,0,0,0,0,33.67,0,0,0,0,0,0,0,pumpkin seed oil,Fats and oils/Oils,Oils,vegan,6,33.33,0,0.88
345,100,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.33,0,flaxseed oil cold pressed,Fats and oils/Oils,Oils,vegan,4,33.33,0.08,0.07
563,100,0,0,0,0.33,0,0,0,0,0,0,0,0,0,77.33,0,0,0,0,0.33,0,0,olive oil,Fats and oils/Oils,Oils,vegan,4,33.33,0.08,0.03
1023,100,0,0,0,0,0,0,0,0,0,0,0,0,0,341.67,0,0,0,0,0,0,0,wheat germ oil,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
910,100,0,0,0,0,0,0,0,0,0,0,0,0,0,143.67,0,0,0,0,0.33,0,0,sunflower oil,Fats and oils/Oils,Oils,vegan,4,33.33,0.08,0.02
784,100,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,safflower oil,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
911,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,sunflower oil ho refined,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
254,100,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,corn germ oil,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
728,100,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,0,0,0,0,0,0,0,rapeseed oil,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
729,100,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,0,0,0,0,rapeseed oil holl,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
391,100,0,0,0,0,0,0,0,0,0,0,0,0,0,54.67,0,0,0,0,0,0,0,grape seed oil,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
606,100,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,peanut oil,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
880,100,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33,0,0,0,0,0,0,0,soybean oil,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
1009,100,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,walnut oil,Fats and oils/Oils,Oils,vegan,4,33.33,0,0
