,kilojoules,kilocalories,fat,cholesterol,carbohydrates,fibres,protein,vitamin_A,beta_carotene,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
0,7.000000000000001,8.0,1.0,0.0,0.0,247.00000000000003,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,66.0,32.0,30.0,19.0,0.0,agar agar,Various/Gelling and binding agents,Other,vegan,8,100.0,30.15,6.36
1,7.000000000000001,7.000000000000001,0.0,0.0,14.499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,agave syrup,Sweets/Sugar and sweeteners,Sweets,vegan,3,50.0,0.0,0.0
2,30.0,30.0,174.0,0.0,3.0,35.0,51.0,0.0,0.0,15.0,85.0,9.0,0.0,16.0,19.0,8.0,0.0,0.0,225.99999999999997,18.0,0.0,27.0,77.0,22.0,41.0,4.0,almond,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,17,100.0,35.43,7.48
3,30.0,30.0,175.0,0.0,4.0,36.0,51.0,0.0,0.0,8.0,109.00000000000001,10.0,0.0,30.0,18.0,5.0,0.0,0.0,199.0,18.0,15.0,27.0,90.0,25.0,41.0,3.0,almond dry roasted salted,"Savoury snacks/Salted nuts, seeds and kernels",Nuts and seeds,vegan,17,100.0,36.18,7.64
4,31.0,31.0,184.0,0.0,3.0,35.0,51.0,0.0,0.0,9.0,71.0,9.0,0.0,31.0,9.0,4.0,0.0,0.0,216.0,17.0,22.0,24.0,87.0,22.0,39.0,3.0,almond roasted salted,"Savoury snacks/Salted nuts, seeds and kernels",Nuts and seeds,vegan,17,100.0,34.17,7.21
5,6.0,6.0,7.000000000000001,0.0,7.000000000000001,12.0,10.0,0.0,0.0,2.0,5.0,8.0,0.0,3.0,5.0,5.0,1.0,0.0,3.0,4.0,0.0,6.0,27.0,20.0,15.0,0.0,amaranth seed cooked ,"Cereal products, pulses and potatoes/Other cereal products",Cereal,vegan,11,100.0,12.81,2.7
6,18.0,18.0,23.0,0.0,23.0,37.0,32.0,0.0,0.0,8.0,17.0,38.0,0.0,10.0,21.0,16.0,4.0,0.0,10.0,12.0,0.0,16.0,81.0,60.0,46.0,0.0,amaranth seed raw,"Cereal products, pulses and potatoes/Other cereal products",Cereal,vegan,18,100.0,38.69,8.17
7,22.0,22.0,43.0,0.0,31.0,9.0,17.0,0.0,0.0,4.0,28.999999999999996,2.0,0.0,4.0,5.0,2.0,0.0,0.0,56.00000000000001,6.0,3.0,7.000000000000001,20.0,6.0,10.0,4.0,amaretti ,Sweets/Cookies/Biscuits,Pastries and cakes,not_vegan,13,100.0,10.05,2.12
8,13.0,13.0,71.0,142.0,0.0,0.0,40.0,1.0,0.0,3.0,17.0,20.0,392.0,24.0,4.0,8.0,0.0,6.0,46.0,5.0,515.0,22.0,55.00000000000001,14.000000000000002,16.0,0.0,anchovis paste,Various/Spreads,Fish,not_vegan,17,100.0,23.12,5.25
9,11.0,11.0,38.0,85.0,0.0,0.0,66.0,19.0,1.0,4.0,45.0,5.0,32.0,1.0,5.0,9.0,0.0,2.0,3.0,3.0,54.0,109.00000000000001,12.0,1.0,31.0,0.0,appenzeller at least  fidm,Milk and dairy products/Hard cheese,Dairy product,not_vegan,13,100.0,52.01,12.09
10,18.0,18.0,106.0,238.0,0.0,0.0,49.0,52.0,2.0,4.0,33.0,5.0,26.0,1.0,5.0,6.0,0.0,2.0,8.0,2.0,41.0,74.0,9.0,2.0,50.0,0.0,appenzeller at least  fidm,Milk and dairy products/Hard cheese,Dairy product,not_vegan,14,100.0,43.97,12.14
11,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,8.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,apple juice,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,Fruit,vegan,1,100.0,0.75,0.16
12,7.000000000000001,7.000000000000001,20.0,45.0,7.000000000000001,6.0,5.0,8.0,0.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,14.000000000000002,3.0,6.0,2.0,3.0,3.0,4.0,0.0,apple pie homemade baked ,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",Prepared dishes,dishes_not_vegan,9,100.0,3.52,1.27
13,7.000000000000001,7.000000000000001,22.0,45.0,7.000000000000001,6.0,5.0,9.0,0.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,15.0,3.0,7.000000000000001,2.0,2.0,2.0,2.0,0.0,apple pie homemade baked ,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",Prepared dishes,dishes_not_vegan,9,100.0,2.76,1.17
14,3.0,3.0,1.0,0.0,5.0,7.000000000000001,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,4.0,2.0,7.000000000000001,0.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,apple fresh,Fruit/Fresh fruit,Fruit,vegan,2,100.0,0.75,0.16
15,14.000000000000002,14.000000000000002,7.000000000000001,0.0,25.0,31.0,3.0,0.0,0.0,5.0,4.0,9.0,0.0,4.0,7.000000000000001,5.0,4.0,0.0,15.0,13.0,1.0,2.0,10.0,13.0,8.0,0.0,apple peeled dried,Fruit/Dried fruit,Fruit,vegan,12,100.0,6.53,1.38
16,3.0,3.0,1.0,0.0,5.0,7.000000000000001,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,4.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,apple stewed drained ,Fruit/Cooked fruit (incl. cans),Fruit,vegan,2,100.0,1.01,0.21
17,4.0,4.0,1.0,0.0,8.0,6.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,applesauce sweetened canned,Fruit/Cooked fruit (incl. cans),Fruit,vegan,2,100.0,0.75,0.16
18,3.0,3.0,1.0,0.0,5.0,7.000000000000001,1.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,applesauce unsweetened canned,Fruit/Cooked fruit (incl. cans),Fruit,vegan,1,100.0,0.75,0.16
19,7.000000000000001,7.000000000000001,19.0,45.0,7.000000000000001,6.0,6.0,23.0,15.0,4.0,5.0,4.0,2.0,3.0,2.0,5.0,3.0,2.0,15.0,6.0,6.0,2.0,4.0,4.0,4.0,0.0,apricot pie homemade baked ,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",Prepared dishes,dishes_not_vegan,12,100.0,4.02,2.17
20,7.000000000000001,7.000000000000001,21.0,45.0,7.000000000000001,6.0,6.0,25.0,16.0,4.0,5.0,4.0,2.0,3.0,2.0,5.0,3.0,2.0,16.0,6.0,7.000000000000001,2.0,3.0,3.0,2.0,0.0,apricot pie homemade baked ,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",Prepared dishes,dishes_not_vegan,12,100.0,3.27,2.12
21,14.000000000000002,14.000000000000002,2.0,0.0,24.0,28.000000000000004,6.0,30.0,30.0,1.0,5.0,12.0,0.0,26.0,3.0,11.0,2.0,0.0,46.0,34.0,1.0,8.0,16.0,9.0,5.0,0.0,apricot dried,Fruit/Dried fruit,Fruit,vegan,15,100.0,7.04,3.08
22,2.0,2.0,0.0,0.0,4.0,7.000000000000001,2.0,27.0,27.0,3.0,4.0,4.0,0.0,3.0,2.0,3.0,5.0,0.0,6.0,8.0,0.0,2.0,3.0,3.0,1.0,0.0,apricot raw,Fruit/Fresh fruit,Fruit,vegan,5,100.0,2.01,1.86
23,2.0,2.0,0.0,0.0,4.0,7.000000000000001,2.0,26.0,26.0,2.0,4.0,4.0,0.0,3.0,1.0,3.0,3.0,0.0,7.000000000000001,6.0,0.0,2.0,3.0,3.0,2.0,0.0,apricot stewed drained  ,Fruit/Cooked fruit (incl. cans),Fruit,vegan,5,100.0,2.26,1.86
24,4.0,4.0,0.0,0.0,8.0,6.0,1.0,9.0,9.0,3.0,4.0,4.0,0.0,4.0,1.0,4.0,3.0,0.0,4.0,6.0,0.0,1.0,3.0,3.0,1.0,0.0,apricot sweetened canned,Fruit/Cooked fruit (incl. cans),Fruit,vegan,5,100.0,1.51,0.8
25,2.0,2.0,0.0,0.0,4.0,7.000000000000001,2.0,9.0,9.0,3.0,5.0,4.0,0.0,5.0,1.0,4.0,4.0,0.0,4.0,7.000000000000001,0.0,2.0,3.0,3.0,1.0,0.0,apricot unsweetened canned,Fruit/Cooked fruit (incl. cans),Fruit,vegan,4,100.0,2.01,0.9
26,1.0,1.0,2.0,0.0,1.0,11.0,4.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,18.0,2.0,13.0,2.0,9.0,4.0,21.0,2.0,6.0,3.0,4.0,33.0,artichoke heart canned drained,Vegetables/Cooked vegetables (incl. cans),Vegetables,vegan,7,100.0,3.27,0.8
27,1.0,1.0,1.0,0.0,1.0,6.0,4.0,2.0,2.0,13.0,12.0,5.0,0.0,9.0,25.0,3.0,16.0,0.0,14.000000000000002,7.000000000000001,0.0,2.0,6.0,6.0,5.0,0.0,asparagus raw,Vegetables/Fresh vegetables,Vegetables,vegan,10,100.0,4.27,1.01
28,1.0,1.0,1.0,0.0,1.0,5.0,4.0,2.0,2.0,10.0,11.0,4.0,0.0,7.000000000000001,15.0,3.0,12.0,0.0,14.000000000000002,6.0,0.0,2.0,5.0,5.0,5.0,0.0,asparagus steamed ,Vegetables/Cooked vegetables (incl. cans),Vegetables,vegan,7,100.0,4.02,0.95
29,7.000000000000001,7.000000000000001,47.0,0.0,0.0,10.0,4.0,1.0,1.0,6.0,15.0,14.000000000000002,0.0,17.0,10.0,14.000000000000002,7.000000000000001,0.0,15.0,13.0,0.0,2.0,11.0,7.000000000000001,8.0,0.0,avocado fresh,"Nuts, seeds and oleaginous fruit;Vegetables/Fresh vegetables",Fruit,vegan,16,100.0,5.28,1.17
30,15.0,15.0,92.0,123.0,0.0,0.0,36.0,1.0,0.0,62.0,13.0,16.0,9.0,34.0,1.0,10.0,26.0,3.0,2.0,7.000000000000001,75.0,1.0,5.0,3.0,25.0,18.0,bacon for cooking,Sausages and cold meats/Raw sausage products,Meat,not_vegan,16,100.0,16.33,3.66
31,19.0,19.0,113.99999999999999,155.0,0.0,0.0,44.0,1.0,0.0,56.00000000000001,13.0,21.0,12.0,57.99999999999999,0.0,18.0,9.0,8.0,0.0,10.0,101.0,0.0,7.000000000000001,0.0,28.999999999999996,16.0,bacon raw,Sausages and cold meats/Raw sausage products,Meat,not_vegan,18,100.0,18.34,4.35
32,12.0,12.0,3.0,0.0,20.0,10.0,18.0,0.0,0.0,12.0,3.0,6.0,0.0,5.0,3.0,4.0,0.0,0.0,2.0,4.0,44.0,1.0,7.000000000000001,6.0,9.0,5.0,baguette,"Bread, flakes and breakfast cereals/Bread and bread products",Cereal,vegan,11,100.0,8.54,1.8
33,0.3,0.3,0.1,0.0,0.5,0.1,0.05,0.0,0.0,0.1,0.05,6.1,0.0,0.05,0.1,0.05,0.05,0.1,0.0,0.2,0.1,0.1,0.2,0.35,0.05,1.65,balsamic vinegar,"Various/Salt, spices and flavours",spices and flavours,vegan,6,5.0,0.14,0.03
34,6.0,6.0,8.0,110.00000000000001,5.0,3.0,27.0,4.0,2.0,12.0,7.000000000000001,10.0,1.0,30.0,1.0,5.0,12.0,2.0,3.0,5.0,27.0,1.0,6.0,5.0,9.0,0.0,bami goreng prepared,Prepared dishes/Asian dishes,Prepared dishes,dishes_not_vegan,13,100.0,10.55,2.55
35,13.0,13.0,3.0,0.0,24.0,18.0,6.0,1.0,1.0,10.0,16.0,57.99999999999999,0.0,17.0,11.0,9.0,4.0,0.0,5.0,28.999999999999996,1.0,2.0,28.999999999999996,9.0,8.0,0.0,banana dried,Fruit/Dried fruit,Fruit,vegan,15,100.0,6.28,1.38
36,18.0,18.0,6.0,0.0,32.0,25.0,8.0,4.0,4.0,18.0,22.0,0.0,0.0,23.0,0.0,0.0,7.000000000000001,0.0,0.0,37.0,0.0,2.0,35.0,8.0,0.0,0.0,banana dried ,Fruit/Dried fruit,Fruit,vegan,13,100.0,4.52,1.17
37,5.0,5.0,1.0,0.0,8.0,7.000000000000001,2.0,1.0,1.0,5.0,3.0,20.0,0.0,5.0,7.000000000000001,4.0,14.000000000000002,0.0,2.0,10.0,0.0,1.0,10.0,3.0,2.0,0.0,banana raw,Fruit/Fresh fruit,Fruit,vegan,7,100.0,2.01,0.48
38,16.0,16.0,5.0,0.0,26.0,34.0,17.0,0.0,0.0,20.0,7.000000000000001,21.0,0.0,26.0,6.0,8.0,0.0,0.0,2.0,4.0,0.0,2.0,21.0,13.0,16.0,0.0,barley flakes,"Bread, flakes and breakfast cereals/Flakes, bran and germs",Cereal,vegan,14,100.0,12.06,2.55
39,7.000000000000001,6.0,7.000000000000001,0.0,10.0,6.0,7.000000000000001,0.0,0.0,5.0,2.0,4.0,0.0,7.000000000000001,2.0,1.0,0.0,0.0,4.0,1.0,23.0,1.0,7.000000000000001,7.000000000000001,9.0,0.0,barley risotto cooked,"Cereal products, pulses and potatoes/Other cereal products",Cereal,vegan,11,100.0,6.03,1.27
40,2.0,2.0,3.0,0.0,2.0,10.0,6.0,57.99999999999999,57.99999999999999,8.0,28.000000000000004,13.0,0.0,9.0,17.0,3.0,27.0,0.0,8.0,8.0,1.0,25.0,4.0,37.0,9.0,0.0,basil raw,Vegetables/Herbs,Vegetables,vegan,15,100.0,19.35,7.16
41,20.0,20.0,26.0,0.0,30.0,9.0,15.0,0.0,0.0,6.0,14.000000000000002,8.0,0.0,5.0,4.0,3.0,1.0,0.0,33.0,4.0,0.0,5.0,13.0,7.000000000000001,9.0,0.0,basler leckerli ,Sweets/Cookies/Biscuits,Pastries and cakes,not_vegan,13,100.0,9.05,1.91
