Column1,name,minutes,ingredients,n_ingredients,ingredients_clean_processed,type,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium
5790,peanut butter banana breakfast,5,"banana, bread, peanut butter",3,banana bread peanut butter,breakfast,117.67,12.33,24.33,41.33,2,33,20,23.67,0,80,22,24,4.67,0,30,16.67,21.67,4.67,44,12.33,35,20
696,banana breakfast smoothie with peanut butter  extra thick and cr,5,"bananas, soymilk, peanut butter, ice",4,bananas soymilk peanut butter ice,breakfast,87.25,5.25,15.25,28,1.75,21,17.25,16,0,57.75,15.25,18,3.75,0,22,12.5,6.75,5.75,30.75,6.75,23.75,14.25
5778,peanut banana milkshake,7,"bananas, soymilk, chunky peanut butter, chocolate-covered peanuts",4,bananas soymilk chunky peanut butter chocolate covered peanuts,breakfast,87.25,5.25,15.25,28,1.75,21,17.25,16,0,57.75,15.25,18,3.75,0,22,12.5,6.75,5.75,30.75,6.75,23.75,14.25
5793,peanut butter crunch wraps,10,"whole wheat tortilla, peanut butter, granola cereal, banana",4,whole wheat tortilla peanut butter granola cereal banana,breakfast,84.5,4.75,15.25,26.5,0.25,20.5,12.75,15.5,0,57.5,14.75,16.5,3.5,0,21.75,11.5,6,2.75,30,6.75,22.5,13.75
5787,peanut butter and tomato toast,5,"tomatoes, bread, peanut butter, salt, pepper",5,tomatoes bread peanut butter salt pepper,breakfast,70.6,6,14,24.8,2.2,19.8,12.2,11.4,0,48,13,14.6,4.6,0,19.2,9.2,39.13,2.81,24.8,7.02,20.81,12
3380,gluten free and vegan breakfast bars,30,"almond flour, sea salt, baking soda, grapeseed oil, agave nectar, vanilla extract, shredded coconut, pumpkin seeds, sunflower seeds, slivered almonds, raisins",11,almond flour sea salt baking soda grapeseed oil agave nectar vanilla extract shredded coconut pumpkin seeds sunflower seeds slivered almonds raisins,breakfast,78.36,4,12.36,22.64,119.45,23.36,37,17.82,0,22.82,22.18,16,3.91,0.27,62.55,8.55,12.6,4.46,35.36,19.74,25.37,4.64
722,banana pb chocolate shake,3,"banana, chocolate syrup, soymilk, peanut butter, ice cube",5,banana chocolate syrup soymilk peanut butter ice cube,breakfast,70,11.6,12.8,22.4,1.4,17,14,13,0,46.4,12.4,14.6,4,0,18,10.4,5.4,4.6,24.8,6,19.2,11.4
723,banana peanut butter protein shake,5,"natural-style peanut butter, banana, powdered soy protein concentrate, soymilk, ice",5,natural style peanut butter banana powdered soy protein concentrate soymilk ice,breakfast,69.8,4.2,12.2,22.4,1.4,16.8,13.8,12.8,0,46.2,12.2,14.4,3,0,17.6,10,5.4,4.6,24.6,5.4,19,11.4
5779,peanut butter   banana oat bran,4,"oat bran, splenda sugar substitute, banana, water, peanut butter",5,oat bran splenda sugar substitute banana water peanut butter,breakfast,67.6,7.8,12.2,21.2,0.2,16.4,10.2,12.4,0,46,11.8,13.2,2.8,0,17.4,9.2,4.8,2.2,24,5.5,18,11
5234,muesli in a slow cooker ,70,"rolled oats, natural bran, wheat germ, coconut, raw sugar, oil, vanilla, sesame seeds, pumpkin seeds, sunflower seeds, peanuts, walnuts, linseeds, raisins, sultana, currants, dried apricot, dried cherries, dried apple",19,rolled oats natural bran wheat germ coconut raw sugar oil vanilla sesame seeds pumpkin seeds sunflower seeds peanuts walnuts linseeds raisins sultana currants dried apricot dried cherries dried apple,breakfast,55.42,4.21,17.89,18.68,2.89,32.74,7.21,12.53,0,12,16,8.42,1.53,0,26.37,8.05,0.32,3.68,34.26,13.82,29.42,4.89
