,index,name,minutes,n_steps,ingredients,n_ingredients,ingredients_clean_processed,type
6,175,cream   of pumpkin or squash soup  vegan,30,9,"['pumpkin puree', 'vegetable broth', 'small red potato', 'green bell pepper', 'celery', 'red onion', 'smooth cashew butter', 'banana', 'apple', 'salt', 'ground red pepper', 'fresh cilantro leaves', 'pumpkin seeds', 'pesto sauce']",14,pumpkin puree vegetable broth small red potato green bell pepper celery red onion smooth cashew butter banana apple salt ground red pepper fresh cilantro leaves pumpkin seeds pesto sauce,main_meal
26,602,get up   go  bars,10,6,"['sugar', 'light corn syrup', 'peanut butter', 'grape-nuts cereal', 'rolled oats', 'sliced almonds', 'dried cranberries']",7,sugar light corn syrup peanut butter grape nuts cereal rolled oats sliced almonds dried cranberries,snacks
27,603,good for you  berry truffles,20,3,"['walnuts', 'dates', 'frozen raspberries', 'cocoa powder']",4,walnuts dates frozen raspberries cocoa powder,desserts
35,779,1 2 3 peanut butter cookies,15,4,"['natural-style peanut butter', 'sugar substitute', 'ground flax seeds']",3,natural style peanut butter sugar substitute ground flax seeds,snacks
54,1396,30 second nut milk  raw food,2,2,"['almond butter', 'bottled water', 'sea salt', 'agave nectar', 'vanilla extract', 'coconut butter']",6,almond butter bottled water sea salt agave nectar vanilla extract coconut butter,other
126,2753,african peanut butter sauce,22,3,"['oil', 'onions', 'garlic cloves', 'tomatoes', 'tomato paste', 'peanut butter', 'pepper', 'vegetable bouillon cube', 'salt', 'water']",10,oil onions garlic cloves tomatoes tomato paste peanut butter pepper vegetable bouillon cube salt water,light_meal
127,2755,african peanut dipping sauce,35,5,"['onions', 'peanut oil', 'cayenne', 'ground ginger', 'banana', 'tomato juice', 'apple juice', 'peanut butter']",8,onions peanut oil cayenne ground ginger banana tomato juice apple juice peanut butter,snacks
128,2758,african peanut stew,90,11,"['canola oil', 'onion', 'garlic cloves', 'fresh ginger', 'jalapeno', 'curry powder', 'diced tomatoes with juice', 'low sodium vegetable broth', 'natural-style peanut butter', 'tamari soy sauce', 'pepper', 'sweet potato', 'carrots', 'chickpeas', 'fresh okra', 'frozen green beans', 'kale', 'lime, juice of', 'fresh cilantro', 'lime wedge', 'salted peanuts']",21,canola oil onion garlic cloves fresh ginger jalapeno curry powder diced tomatoes juice low sodium vegetable broth natural style peanut butter tamari soy sauce pepper sweet potato carrots chickpeas fresh okra frozen green beans kale lime juice fresh cilantro lime wedge salted peanuts,main_meal
130,2762,african pineapple peanut stew,30,8,"['onion', 'garlic cloves', 'vegetable oil', 'kale', 'canned crushed pineapple', 'peanut butter', 'tabasco sauce', 'cilantro']",8,onion garlic cloves vegetable oil kale canned crushed pineapple peanut butter tabasco sauce cilantro,main_meal
135,2786,african sweet potato and peanut stew,50,16,"['olive oil', 'yellow onion', 'green bell pepper', 'garlic clove', 'light brown sugar', 'fresh ginger', 'ground cumin', 'ground cinnamon', 'cayenne', 'sweet potatoes', 'crushed tomatoes', 'vegetable stock', 'salt', 'dark red kidney beans', 'smooth peanut butter', 'dry-roasted unsalted peanuts']",16,olive oil yellow onion green bell pepper garlic clove light brown sugar fresh ginger ground cumin ground cinnamon cayenne sweet potatoes crushed tomatoes vegetable stock salt dark red kidney beans smooth peanut butter dry roasted unsalted peanuts,main_meal
137,2793,african yam and peanut soup,140,14,"['vegetable stock', 'vegetable oil', 'yellow onion', 'salt', 'minced ginger', 'garlic cloves', 'ground cumin', 'ground coriander', 'cayenne pepper', 'paprika', 'red bell pepper', 'yams', 'pineapple', 'tomatoes', 'smooth peanut butter', 'fresh cilantro', 'limes, juice of', 'hot sauce']",18,vegetable stock vegetable oil yellow onion salt minced ginger garlic cloves ground cumin ground coriander cayenne pepper paprika red bell pepper yams pineapple tomatoes smooth peanut butter fresh cilantro limes juice hot sauce,main_meal
138,2794,african yam stew,55,9,"['vegetable broth', 'onion', 'yams', 'canned chick-peas', 'brown rice', 'salt', 'peanut butter', 'collard greens', 'fresh lemon juice', 'black pepper', 'braggs liquid aminos', 'chili sauce']",12,vegetable broth onion yams canned chick peas brown rice salt peanut butter collard greens fresh lemon juice black pepper braggs liquid aminos chili sauce,main_meal
174,3220,algerian green beans with almonds,35,7,"['fresh green beans', 'water', 'peanut oil', 'garlic cloves', 'ground cumin', 'paprika', 'ground cloves', 'slivered almonds']",8,fresh green beans water peanut oil garlic cloves ground cumin paprika ground cloves slivered almonds,light_meal
193,3555,almond banana shake,4,2,"['banana', 'almond milk', 'ground cinnamon']",3,banana almond milk ground cinnamon,snacks
203,3783,almond joy butter,25,11,"['almonds', 'unsweetened dried shredded coconut', 'dark chocolate', 'vanilla extract', 'sea salt']",5,almonds unsweetened dried shredded coconut dark chocolate vanilla extract sea salt,snacks
204,3786,almond joy candies,65,10,"['karo syrup', 'coconut', 'almond extract', 'almonds', 'chocolate bark']",5,karo syrup coconut almond extract almonds chocolate bark,snacks
206,3829,almond milk  vegan  raw  gluten free,10,4,"['almonds', 'water', 'molasses']",3,almonds water molasses,snacks
211,3932,almond tahini date balls,20,5,"['sliced almonds', 'cinnamon', 'tahini', 'dried dates']",4,sliced almonds cinnamon tahini dried dates,main_meal
236,4360,amalfi salads,10,12,"['pine nuts', 'salad leaves', 'tomatoes', 'black olives', 'sun-dried tomato paste', 'balsamic vinegar', 'olive oil']",7,pine nuts salad leaves tomatoes black olives sun dried tomato paste balsamic vinegar olive oil,snacks
